age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,original_label,original_prediction,final_prediction,IsCorrect,IsAdversarial,score_before_attack,score_after_attack
43,Private,Assoc-voc,11,Never-married,Sales,Unmarried,White,Female,4650,0,50,United-States,1,1,0,True,True,0.5156868563812742,0.16408146992573427
32,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States,1,0,0,False,False,0.17172818673428825,0.17172818673428825
54,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,56,United-States,0,1,1,False,False,0.6327080582213974,0.6327080582213974
45,Federal-gov,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,3471,0,84,England,0,0,1,True,True,0.11163674337176555,0.5365568299403202
36,Private,5th-6th,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,Philippines,1,1,0,True,True,0.8869548595679935,0.3516861550681726
28,Self-emp-not-inc,Some-college,10,Married-AF-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,0,0,1,True,True,0.013063705828818889,0.7875089924757196
50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.8965318548358472,0.8965318548358472
17,Federal-gov,11th,7,Never-married,Adm-clerical,Not-in-family,Black,Female,0,1602,40,United-States,0,0,0,True,False,0.0022346846005012774,0.0022346846005012774
37,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,0,0,0,True,False,0.02625420306408095,0.02625420306408095
35,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Scotland,1,1,0,True,True,0.6567849850941133,0.38842803042126606
23,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,45,United-States,0,0,0,True,False,0.002814676182232566,0.002814676182232566
51,Private,HS-grad,9,Married-spouse-absent,Craft-repair,Husband,White,Male,0,1980,40,Thailand,1,1,0,True,True,0.9716427277890196,0.3948868315632821
22,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0,0,0,True,False,0.006076789896292854,0.006076789896292854
62,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.9201627220472673,0.9201627220472673
45,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,42,United-States,1,1,0,True,True,0.8765639648617694,0.3721888605592338
47,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,1,1,1,True,False,0.9975985223885159,0.9975985223885159
63,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,1,0,0,False,False,0.36189628819578157,0.36189628819578157
70,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,0,1,1,False,False,0.5601160785473733,0.5601160785473733
32,Private,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,16,United-States,0,0,0,True,False,0.025111557646288182,0.025111557646288182
57,Private,HS-grad,9,Married-spouse-absent,Transport-moving,Husband,White,Male,0,0,40,Yugoslavia,1,1,0,True,True,0.7494818575489024,0.43533992488643974
38,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.9021214245655301,0.9021214245655301
47,Federal-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1,1,1,True,False,0.9818713007125147,0.9818713007125147
50,Private,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Husband,White,Male,0,0,50,Philippines,1,1,0,True,True,0.6522275199751524,0.42001216480646986
58,Private,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,1741,40,United-States,1,1,0,True,True,0.9509542705745967,0.2394412279857143
47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,85,United-States,1,1,1,True,False,0.7404839601569535,0.7404839601569535
30,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,Philippines,0,0,1,True,True,0.3751872661936711,0.686500093949344
30,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,0,0,True,False,0.027963895643301494,0.027963895643301494
46,Private,10th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,38,Canada,0,0,1,True,True,0.24457822067834153,0.5796923085938838
50,Private,HS-grad,9,Separated,Craft-repair,Husband,White,Male,0,0,39,Ireland,1,1,0,True,True,0.6500516661239509,0.2930843172381857
57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,1,1,False,False,0.7677350331062687,0.7677350331062687
34,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,47,United-States,1,1,0,True,True,0.5011209118551441,0.4139199792354909
44,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.879384667580025,0.879384667580025
42,Private,HS-grad,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,52,Haiti,0,0,1,True,True,0.42089251586136506,0.715613119989251
33,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,75,United-States,1,1,1,True,False,0.9917610874964768,0.9917610874964768
38,Private,Prof-school,16,Separated,Craft-repair,Own-child,White,Male,0,0,40,Iran,0,0,1,True,True,0.1596717698329993,0.5109785628317484
38,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,1,1,False,False,0.8217507040821271,0.8217507040821271
43,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.8768841262743813,0.8768841262743813
59,Private,10th,9,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,1825,36,India,1,1,0,True,True,0.9899966584109733,0.3227069542480838
25,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,60,United-States,0,0,0,True,False,0.3808701184203498,0.3808701184203498
48,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0,1,1,False,False,0.5958305221281563,0.5958305221281563
53,Local-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States,1,1,1,True,False,0.8061375105255965,0.8061375105255965
43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,1,1,False,False,0.561207494155848,0.561207494155848
41,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,1,0,True,True,0.6769549858494829,0.3844933063048654
33,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,1,1,False,False,0.6835834262808246,0.6835834262808246
34,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,United-States,1,1,1,True,False,0.8953145481744172,0.8953145481744172
37,Private,1st-4th,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,64,Nicaragua,0,0,1,True,True,0.24984310376157795,0.5873339230776892
28,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4416,0,44,United-States,1,1,0,True,True,0.5135242232571763,0.3538221542531973
30,Private,9th,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0,0,0,True,False,0.14237151637681816,0.14237151637681816
35,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,8614,0,45,United-States,1,1,1,True,False,0.9927583052253853,0.9927583052253853
31,Self-emp-not-inc,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0,0,0,True,False,0.02684141612340529,0.02684141612340529
35,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,1,1,False,False,0.7864118124744504,0.7864118124744504
31,Private,Bachelors,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,38,France,0,0,1,True,True,0.2150734310112117,0.5075899322393715
28,Local-gov,Masters,14,Married-AF-spouse,Prof-specialty,Unmarried,White,Female,0,0,50,Japan,0,0,1,True,True,0.20546945530740876,0.6452011904918629
56,Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0,0,0,True,False,0.19565066739195708,0.19565066739195708
35,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0,0,0,True,False,0.030799709182525028,0.030799709182525028
29,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,35,United-States,0,0,0,True,False,0.06331518020141275,0.06331518020141275
38,Private,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Female,2354,0,40,United-States,0,0,0,True,False,0.043581573428302246,0.043581573428302246
33,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,1,0,0,False,False,0.4044691191607337,0.4044691191607337
51,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0,1,1,False,False,0.9354483252657868,0.9354483252657868
39,Self-emp-not-inc,Assoc-voc,11,Married-spouse-absent,Sales,Husband,White,Male,0,0,48,United-States,1,1,0,True,True,0.8702390057589893,0.229465321718853
41,Local-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,1974,40,United-States,0,1,1,False,False,0.7011752402817754,0.7011752402817754
30,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1741,40,United-States,1,1,0,True,True,0.9635027206108783,0.28052864643627884
63,Private,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Cuba,0,0,0,True,False,0.196029443283938,0.196029443283938
50,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,45,United-States,1,1,0,True,True,0.7532774462607973,0.39895847165890874
37,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,80,United-States,1,1,1,True,False,0.9168864205274289,0.9168864205274289
21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,0,0,0,True,False,0.0026459103058069935,0.0026459103058069935
56,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Canada,0,0,0,True,False,0.20604800135250573,0.20604800135250573
44,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.8073652392739276,0.8073652392739276
22,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,0,0,0,True,False,0.0082548966764206,0.0082548966764206
41,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0,0,0,True,False,0.05556285735966922,0.05556285735966922
48,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,1,1,False,False,0.6123331580776975,0.6123331580776975
37,Self-emp-not-inc,1st-4th,11,Married-AF-spouse,Farming-fishing,Wife,White,Female,0,213,40,Ireland,0,0,1,True,True,0.20419391439618748,0.6394945748958937
38,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0,0,0,True,False,0.05745495363113943,0.05745495363113943
37,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0,1,1,False,False,0.724261563301258,0.724261563301258
33,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.8226398408352045,0.8226398408352045
47,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,55,United-States,1,1,1,True,False,0.9413855846970612,0.9413855846970612
32,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,55,Mexico,1,1,1,True,False,0.9519960264227185,0.9519960264227185
19,Private,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,24,United-States,0,0,0,True,False,0.0031803564276579794,0.0031803564276579794
55,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,United-States,1,1,1,True,False,0.9865873335866759,0.9865873335866759
17,Private,12th,8,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,0,0,0,True,False,0.0028322581512189612,0.0028322581512189612
25,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,1,1,1,True,False,0.9889911372107033,0.9889911372107033
59,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,8,United-States,1,0,0,False,False,0.4494378342672821,0.4494378342672821
53,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,38,United-States,1,1,1,True,False,0.9951201213458977,0.9951201213458977
31,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,60,United-States,1,1,1,True,False,0.9938573435174853,0.9938573435174853
54,Private,11th,7,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,1,0,0,False,False,0.051684872558493904,0.051684872558493904
52,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,0,1,1,False,False,0.6359825180580729,0.6359825180580729
57,Self-emp-not-inc,12th,11,Married-AF-spouse,Sales,Husband,White,Female,0,0,37,Scotland,1,1,0,True,True,0.9065611528723192,0.4915855248735969
55,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.9241593091217635,0.9241593091217635
50,Private,11th,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,China,1,1,0,True,True,0.6500516661239509,0.42268630675595387
71,Self-emp-not-inc,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,75,United-States,1,1,1,True,False,0.9272011124161947,0.9272011124161947
30,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1,1,1,True,False,0.86418523871883,0.86418523871883
29,Private,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,1,0,0,False,False,0.4581002869713531,0.4581002869713531
43,Private,Masters,12,Married-spouse-absent,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,49,United-States,1,1,0,True,True,0.6993881163273451,0.4478341180514748
31,Private,5th-6th,11,Married-civ-spouse,Craft-repair,Wife,White,Male,2463,0,65,United-States,0,0,1,True,True,0.28382174708956004,0.7254794221270946
35,Self-emp-not-inc,Assoc-voc,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Iran,1,1,0,True,True,0.8288393902440895,0.4598295721596627
30,Self-emp-not-inc,Bachelors,15,Divorced,Prof-specialty,Other-relative,White,Female,0,0,40,Haiti,0,0,1,True,True,0.10412245386147333,0.5433521563859303
42,Self-emp-not-inc,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,Male,0,0,50,United-States,0,0,0,True,False,0.05821960728640121,0.05821960728640121
57,Federal-gov,HS-grad,9,Separated,Adm-clerical,Other-relative,Black,Female,0,0,35,United-States,0,0,0,True,False,0.03829821395712951,0.03829821395712951
35,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,1,0,0,False,False,0.387673802923485,0.387673802923485
24,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,20,United-States,0,0,0,True,False,0.005668806874072526,0.005668806874072526
42,Private,Some-college,10,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,1,0,0,False,False,0.2744353314560807,0.2744353314560807
53,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,10,United-States,0,0,0,True,False,0.023364406330876317,0.023364406330876317
51,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,55,United-States,1,1,1,True,False,0.8645076458913858,0.8645076458913858
37,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,86,United-States,0,0,0,True,False,0.03475279926540427,0.03475279926540427
47,Local-gov,Masters,14,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0,1,1,False,False,0.6767321238152766,0.6767321238152766
25,Private,7th-8th,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,55,United-States,1,1,0,True,True,0.6119134090650834,0.4384188954617255
40,Federal-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1,1,1,True,False,0.8420587136676388,0.8420587136676388
62,Self-emp-not-inc,Masters,14,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,20,United-States,0,0,0,True,False,0.017809903442833452,0.017809903442833452
55,Local-gov,Bachelors,13,Married-spouse-absent,Prof-specialty,Husband,White,Female,0,0,38,Puerto-Rico,1,1,0,True,True,0.9497411593019531,0.46034790160155814
28,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,16,United-States,0,0,0,True,False,0.008913052729399155,0.008913052729399155
82,Private,5th-6th,3,Widowed,Other-service,Unmarried,White,Male,0,0,20,United-States,0,0,0,True,False,0.0025257946700843643,0.0025257946700843643
33,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,1590,40,United-States,0,0,0,True,False,0.06133929880944489,0.06133929880944489
55,State-gov,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,39,Iran,1,1,0,True,True,0.8220307452856449,0.4311801847939003
61,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,0,1,1,False,False,0.8186315393441741,0.8186315393441741
32,Private,10th,10,Divorced,Exec-managerial,Husband,White,Female,0,0,40,United-States,1,1,0,True,True,0.9159198012538636,0.287604429447019
51,Self-emp-inc,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,1741,40,United-States,0,0,0,True,False,0.004334708224426566,0.004334708224426566
73,Private,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,20,United-States,0,0,0,True,False,0.00543162377696977,0.00543162377696977
40,Private,Masters,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Outlying-US(Guam-USVI-etc),1,1,0,True,True,0.7559522739458031,0.49079662108982774
47,Private,Assoc-voc,12,Married-AF-spouse,Machine-op-inspct,Other-relative,White,Male,0,0,42,China,0,0,1,True,True,0.1250334682750386,0.59790665959694
59,Self-emp-not-inc,10th,10,Widowed,Exec-managerial,Other-relative,White,Female,0,0,52,France,0,0,1,True,True,0.1685941359047463,0.5658660927312015
23,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0,0,True,False,0.004791687936247982,0.004791687936247982
29,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Wife,White,Male,3273,0,40,Iran,0,0,1,True,True,0.09653770568061712,0.6351760845730877
60,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,99999,0,40,United-States,1,1,1,True,False,0.9817173932936188,0.9817173932936188
52,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,Cuba,0,0,0,True,False,0.024549193723199005,0.024549193723199005
31,Private,HS-grad,11,Married-civ-spouse,Craft-repair,Wife,White,Male,0,0,40,United-States,0,0,1,True,True,0.45294923937132814,0.8773475679127394
